Text,Lemmatized Text,Clusters(K Means),Clusters(DBSCAN)
satış danışmanı pozisyonunda 1 yıl deneyim sahibi,satış danışman pozisyon 1 yıl dene sahip,5,0
dinamik iletişim becerileri güçlü,dinamik iletişim beceri güçlü,1,1
güzel sanatlar fakültesinden mezun,güzel sanat fakülte mezun,1,1
ıllustrator çizim programlarına hakim,ıllustrator çizi program hakim,1,1
provalara katılmak,prova katıl,1,1
tercihen hızlı tüketim sektöründe 3 yıllık pazarlama deneyimi olan,tercihen hızlı tüketim sektör 3 yıllık pazarla deney olan,4,0
analitik çözüm odaklı gelişmeye açık,analitik çöz odak geliş açık,1,1
pozitif düşünebilen planlama organizasyon yeteneği güçlü,pozitif düşün planla organizasyon yetenek güçlü,1,1
reklamların projelerin tasarımdan yayınlanma sürecine yürütülmesi,reklam proje tasar yayınla süreç yürüt,1,1
internet sitesi içeriklerini yönetebilecek,internet site içerik yönet,1,1
türkçe dil bilgisi kurallarına hakim,türk dil bilgi kural hakim,1,1
yeniliklere açık planlama becerileri gelişmiş,yenilik açık planla beceri geliş,1,1
benzer pozisyonda minimum 5 yıl iş tecrübesine sahip,benzer pozisyon minimum 5 yıl iş tecrübe sahip,5,0
çalıştığı kurumu iyi temsil edebilecek,çalış kur iyi temsil et,0,0
üst düzeyde akıcı derecede ingilizce konuşabilen yazabilen,üst düzey ak derece ingilizce konuş yaz,1,1
ingilizce kurumsal yazışmaları yapabilecek,ingilizce kurum yazış yap,1,0
son 1 ay içerisinde kurumkuruluşta sigortalı çalışmamış olan,son 1 ay içeri kur kuruluş sigorta çalış olan,4,0
3 vardiya düzeninde çalışabilecek,3 vardiya düzen çalış,2,0
fabrikamızda dönemsel istihdam edilmek,fabrika dönem istihdam et,0,0
ekip saha çalışmasına uygun,ekip saha çalış uygun,2,0
satış konusunda gün farklı tecrübe edinmek isteyen,satış konu gün fark tecrübe edin iste,1,0
aylık maaş ay içerisinde senelik maaş kazanmak isteyen,aylık maaş ay içeri sene maaş kazan iste,1,1
satış danışmanı bulundurulmak diksiyonu düzgün güler yüzlü sistemli çalışabilecek personeller alınacaktırkadın adaylar ofis ortamında erkek adaylar saha koşullarında çalışma imkanı sunulmaktadır,satış danışman bulundur diksiyon düzgün gül yüz sistem çalış personel alın * kadın aday ofis ortam erkek aday saha koşul çalış imkan sun,2,0
moda basını iyi ilişkileri olan,moda ba iyi ilişki olan,4,0
moda sanata ilgi duyan,moda sanat ilgi duy,1,1
üretim sektöründe görev almış,üretim sektör görev al,1,1
erkek adaylar askerlik görevini tamamlamış maliyet muhasebesi uzmanı arayışımız bulunmaktadır,erkek aday asker görev tamamla maliyet muhasebe uzma ara bulun,1,1
maliyet sistem geliştirme iyileştirme projelerine destek,maliyet sistem geliştir iyi proje destek,1,1
muhasebe alanında 2 yıl tecrübe sahibi,muhasebe alan 2 yıl tecrübe sahip,5,0
tercihen SMMM stajını başlatmış,tercihen smmm staj başla,1,1
3-4 yıl şantiye ofis deneyimi olan,3-4 yıl şantiye ofis deney olan,4,0
ekip çalışmasına uygun sorumluluk sahibi öğrenmeye açık,ekip çalış uygun sorumluluk sahip öğren açık,5,0
malzeme bilgisi saha tecrübesi olan,malzeme bilgi saha tecrübe olan,4,0
autocad-3dmax-photoshop programlarını etkin kullanabilen,autocad-3dmax photoshop program etkin kullan,3,0
eleştiriye yeniliklere açık,eleştiri yenilik açık,1,1
javascript HTML CSS web teknolojileri konusunda tecrübeli,javascript html CSS web teknoloji konu tecrübe,1,0
B sınıfı sürücü ehliyeti olan,b sınıf sür ehliyet olan,4,0
bandırmada ikamet edebilecek,bandırma ikamet et,0,0
sistemli tertipli disiplinli çalışma tarzı olan,sistem tertip disiplin çalış tarz olan,4,0
ERP benzeri programları kullanım tecrübesi olan,ERP benzeri program kullanım tecrübe olan,4,0
istif makineleri kullanabilecek ehliyete sahip,istif makine kullan ehliyet sahip,3,2
organizasyon becerisi olan zamanını verimli kullanabilen,organizasyon beceri olan zaman verim kullan,3,0
yönetme becerisine sahip analitik düşünebilen,yönet beceri sahip analitik düşün,5,0
jinekolojik onkoloji uzmanı aramaktayız,jinekolojik onkoloji uzma ara,1,1
yurtdışı satış pazarlama alanında deneyimli,yurtdışı satış pazarla alan deneyim,1,1
dış ticaret süreç uygulama terimlerine hakim,dış ticaret süreç uygula terim hakim,1,1
kişisel disiplin motivasyona sahipdış görünüşüne özen gösteren,kişisel disiplin motivasyon sahip dış görünüş özen göster,5,0
yurtdışı çıkış engeli bulunmayan,yurtdışı çıkış engel bulun,1,1
üniversitelerin makine-resim-konstrüksiyon MYO bölümünden mezun,üniversite makine-resim konstrüksiyon myo bölüm mezun,1,1
imalat metal plastik sektöründe 2 yıl üretim tecrübesi olan,imalat metal plastik sektör 2 yıl üretim tecrübe olan,4,0
perakende sektöründe 3 yıllık iş tecrübesine sahip çalışma hayatının son 1 yılını yöneticilik düzeyinde geçirmiş,perakende sektör 3 yıllık iş tecrübe sahip çalış hayat son 1 yıl yönet düzey geçir,5,0
kaynakları etkin verimli kullanabilen,kaynak etkin verim kullan,3,0
iletişim problem çözme becerileri gelişmiş,iletişim problem çöz beceri geliş,1,1
yeni teknolojileri öğrenmeye geliştirmeye açık,yeni teknoloji öğren geliştir açık,1,1
B sınıfı sürücü ehliyetine sahip olan aktif araç kullanabilen,b sınıf sür ehliyet sahip olan aktif araç kullan,3,0
1 yıl üretim faaliyetlerinde deneyimi olan,1 yıl üretim faaliyet deney olan,4,0
kalite uygulamaları konusunda 3 yıllık deneyim sahibi,kalite uygula konu 3 yıllık dene sahip,5,0
iş takibi konusunda titiz dikkatli,iş takip konu titiz dikkatli,1,0
erkek adaylar askerlik hizmetini tamamlamış ilişiği olmayan,erkek aday asker hizmet tamamla ilişik olmayan,1,1
tercihen izmir  aliağa ikamet,tercihen izmir aliağa ' ikamet,1,1
şantiyede kullanılacak olan dokümanları hazırlamak,şantiye kullan olan doküman hazırla,3,0
yayınlamak gerektiğinde sistem dokümantasyonlarında revizyon,yayınla gerek sistem dokümantasyon revizyon,1,1
şantiyede kullanılacak dokümanların güncelliğinin izlenmesini dağıtımının kontrollü yapılmasını sağlamak,şantiye kullan doküman güncel izle dağıtım kontrol yap sağla,3,8
müşteri şartnamelerini inceleyip gerekli dokümanları hazırlamak raporlamak,müşteri şartname incele gerekli doküman hazırla raporla,1,1
minimum 5 yıllık tecrübe sahibi,minimum 5 yıllık tecrübe sahip,5,0
muhasebe paket programlarına vakıf,muhasebe paket program vakıf,1,1
netsisi iyi derecede bilen,net iyi derece bil,1,1
iş takip yeteneği güçlü titiz sorumluluk alabilecek detaylara önem veren,iş takip yetenek güçlü titiz sorumluluk al detay önem ver,1,1
mali veri okuma yorumlama yeteneğine sahip,mali veri ok yorumla yetenek sahip,5,0
tercihen ERP micro kullanım tecrübesi olan,tercihen ERP micro kullanım tecrübe olan,4,0
proaktif iletişim gücü yüksek,proaktif iletişim güç yüksek,1,1
şahsuvaroğlu grup YMY otomotiv,şahsuvaroğlu grup YMY otomotiv,1,1
ssangyong untürkiye distribütörü istanbul anadolu yakası nda yer alan genel müdürlüğümüzün SSH departmanında görevlendirmek  SSH koordinatörü  aramaktadır,ssangyong ' untürkiye distribütör istanbul anadol yak ' nda ye al genel müdür SSH departman görevlen SSH koordinatör ara,1,1
nihai tüketici SSH sistem kurulumunda tecrübeli,nihai tüket SSH sistem kurulum tecrübe,1,0
analitik düşünce bakış açısına sahip,analitik düş bakış açı sahip,5,0
iletişim yeteneği kuvvetli takım çalışmasına yatkın,iletişim yetenek kuvvet tak çalış yatkın,2,0
3 ay boyunca haftada 45 saat çalışabilecek olan,3 ay boyunca hafta 45 saat çalış olan,4,0
muğla parkda bulunan KOTON mağazamız,muğla park'da bulun koton mağaza,1,1
catia NX autoform programları hakkında bilgi sahibi,catia NX autoform program hakkında bilgi sahip,5,0
benzer pozisyonda minimum 1 yıl tecrübesi olan,benzer pozisyon minimum 1 yıl tecrübe olan,4,0
hizmet sektöründe 3 yıl deneyimi olan,hizmet sektör 3 yıl deney olan,4,0
hijyen konusunda bilgili duyarlı,hijyen konu bilgi duyarlı,1,0
gıda güvenliği konusunda bilgi sahibi uygulamalara hakim,gıda güvenlik konu bilgi sahip uygula hakim,5,0
anadil ileri seviyede ALMANCA konuşabilen,anadil ileri seviye almanca konuş,1,1
çağrı merkezinde kariyer hedefleyen,çağrı merkez kariyer hedefle,1,1
telefonda iletişim yeteneği güçlü,telefon iletişim yetenek güçlü,1,1
satış yapabilecek,satış yap,1,0
müşteri odaklı problem çözme yeteneği gelişmiş,müşteri odak problem çöz yetenek geliş,1,1
disiplinli diksiyonu düzgün,disiplin diksiyon düzgün,1,1
zaman yönetimi konusunda hassas,zaman yönet konu hassas,1,0
ISO 27001 PCI-DSS uluslararası standartlar konusunda bilgi sahibi,ıso 27001 PCI-DSS uluslararası standart konu bilgi sahip,5,0
tercihen SAP NETSİS bilen,tercihen sap NETSİS bil,1,1
iletişim planlama koordinasyon yeteneği gelişmiş,iletişim planla koordinasyon yetenek geliş,1,1
okul tören çalışmaları yürüten,okul töre çalış yürüt,2,0
2019-2020 bahar dönemi,2019-2020 bahar döne,1,1
beden eğitimi öğretmenleri arıyoruz,be eğitim öğretmen ara,1,1
iletişimi iyi insan ilişkilerinde başarılı raporlama sunum becerileri gelişmiş,iletişim iyi insan ilişki başarı raporla sunu beceri geliş,1,1
hazır giyim sektöründe 3 yıl tecrübe sahibi kariyer hedefleyen,hazır giyim sektör 3 yıl tecrübe sahip kariyer hedefle,5,0
sözlü yazılı iletişimi gelişmiş,sözlü yazılı iletişim geliş,1,1
yurt dışında minimum 2 yıl satış tecrübesi olan,yurt dış minimum 2 yıl satış tecrübe olan,4,0
sonuç odaklı dinamik,sonuç odak dinamik,1,1
cost control alanında 2 yıl deneyim sahibi,cost control alan 2 yıl dene sahip,5,0
stok kartları reçete oluşturma sistemine hakim,stok kart reçete oluş sistem hakim,1,1
ay soyu sayımları sayım raporlamaları yapabilecek,ay so sayım say raporla yap,1,0
satınalma girdi fiyatlarının kontrolünü gerçekleştirebilen,satınal gir fiyat kontrol gerçek,1,1
min max stok uygulamasını bilen,mi max stok uygula bil,1,1
ÜTT belgesi olan,ÜTT belge olan,4,0
benzer pozisyonda 5 yıl görev yapmış,benzer pozisyon 5 yıl görev yap,1,0
iyi seviye ingilizce bilgisi olan,iyi sevi ingilizce bilgi olan,4,0
yoğun tempolu çalışma koşullarına uyum sağlayabilecek,yoğun tempo çalış koşul uyum sağla,2,0
MS office autocad ERP programlarına hakim tercihen SAP-PM modülü,ms office autocad ERP program hakim tercihen SAP-PM modül,1,1
bilgisayar bilimleri mühendislik bölümlerinden mezun,bilgisayar bilim mühendis bölüm mezun,1,1
alanında 2-5 yıl arası tecrübe sahibi,alan 2-5 yıl ara tecrübe sahip,5,0
PML programmable macro language SQL C C++ visual basic bilgisi olan,PML programmable macro language SQL c c visual basic bilgi olan,4,0
autocad microstation kullanabilen,autocad microstation kullan,3,0
yazılımdonanım gereksinimlerini proje gerekliliklerine tanımlayabilecek,yazılı donanım gereksinim proje gerekli tanımla,1,1
proje gerekliliklerine 3D entegre modüller kurulumlara yardımcı olabilecek,proje gerekli 3D entegre modül kurulum yardımcı ol,1,1
avevaıntergraph katalog spec girişlerini yapabilen,aveva ıntergraph katalog spec giriş yap,1,0
avevaıntergraphtan rutin model exportlarını raporlamaları yapabilecek,aveva ıntergraph rutin model export raporla yap,1,0
erkek adaylar askerlik hizmetini tamamlamış 2 yıl tecilli durumda,erkek aday asker hizmet tamamla 2 yıl tecil durum,1,0
iletişim yeteneği kuvvetli takım çalışmasına yatkın müşteri odaklı,iletişim yetenek kuvvet tak çalış yatkın müşteri odak,2,0
ithalatihracat alanında 3 yıl deneyimli,ithalat ihracat alan 3 yıl deneyim,1,0
gümrük mevzuatına hakim,gümrük mevzuat hakim,1,1
planlama problem çözme becerisine sahip,planla problem çöz beceri sahip,5,0
6 yıl bankacılık sekt&oumlr&uumlnde ticari krediler konusunda deneyimli,6 yıl banka sekt & ouml r & uuml n ticari kredile konu deneyim,1,0
kredi iş birimi temsilcisi şubede g&oumlrev alan kredi analisti m&uumlşteri ilişkileri y&oumlneticisi MİY birlikte m&uumlşteri ziyareti yapar temin gereken ilave bilgi belgeleri belirler,kredi iş birim temsilci şube g & ouml rev al kredi analist m & uuml şteri ilişki y & ouml neticisi MİY birlikte m & uuml şteri ziyaret yap te gerek ilave bilgi belge belirle,1,0
şube portf&oumly&uumlndeki kredi m&uumlşterilerine gerekli hallerde kredi riskinin &oumll&ccedil&uumllmesini ama&ccedillayan ziyaretler yapar,şube portf & ouml y & uuml n kredi m & uuml şterilerine gerekli hal kredi risk & ouml l & ccedil & uuml lmesini ama & ccedil layan ziyaret yap,1,0
kredi paketinde yer alması gereken bilgi analizlerin &oumlzellikle finansal analiz kredi analizinin yeterli ger&ccedilek&ccedili objektif yazılmasını sağlar,kredi paket ye al gerek bilgi analiz & ouml zellikle finansal analiz kredi analiz yeterli ger & ccedil ek & ccedil i objektif yaz sağla,1,1
kredi teklifi talep edilen kredilerin tutar t&uumlr banka kredi politikalarına uygunluğunu kontrol eder,kredi teklif talep et kredi tut t & uuml r bank kredi politika uygun kontrol et,0,0
muğla marmaris sahilde bulunan KOTON mağazamız,muğla marmaris sahil bulun koton mağaza,1,1
3 yıl ekmek pizza deneyimi olan,3 yıl ekmek pizza deney olan,4,0
sorumlu bölgelerde kampanya etkinlik ihtiyaçlarını belirlemek organizasyonlar düzenlemek,sorumlu bölge kampanya etkin ihtiyaç belirle organizasyon düzenle,1,1
bodrumda bulunan otelimizde görevlendirilmek,bodrum bulun otel görevlen,1,1
meslek lisesi elektrik bölümü mezunu,meslek lise elektrik bölü mezun,1,1
havuz bakım operatörlük belgesi olan,havuz bakı operatör belge olan,4,0
tercihen usta öğreticilik belgesi olan,tercihen usta öğret belge olan,4,0
ısıtma soğutma konularında bilgisi olan,ısıt soğut konu bilgi olan,4,0
muğla marmaris caddede bulunan KOTON mağazamız,muğla marmaris cadde bulun koton mağaza,1,1
iş takibi yeteneği gelişmiş analitik düşünce yapısına sahip,iş takip yetenek geliş analitik düş yapı sahip,5,0
4 yıl lojistik sektörü deneyimi olan,4 yıl lojistik sektör deney olan,4,0
operasyonel raporlama bilgi yönetimine sahip,operasyonel raporla bilgi yönetim sahip,5,0
lojistik portföyü olan,lojistik portföy olan,4,0
takım çalışmalarında uyum içerisinde çalışan,tak çalış uyum içeri çalış,2,0
insiyatif kullanabilen,insiyatif kullan,3,0
5 yıl yöneticilik tecrübesi olan,5 yıl yönet tecrübe olan,4,0
alanında 3-4 yıl tecrübe sahibi,alan 3-4 yıl tecrübe sahip,5,0
muğla fethiye erastada bulunan KOTON mağazalarımız,muğla fethiye erasta bulun koton mağaza,1,1
tercihen SAP QM tecrübesine sahip,tercihen sap QM tecrübe sahip,5,0
IATF 16949 IS0 9001 ISO 27001 konusunda bilgi sahibi,IATF 16949 IS0 9001 ıso 27001 konu bilgi sahip,5,0
planlama organizasyon koordinasyon yönü güçlü,planla organizasyon koordinasyon yön güçlü,1,1
veri analizi raporlama becerileri gelişmiş,veri analiz raporla beceri geliş,1,1
ileri derecede yazılı sözlü ingilizce bilen iş görüşmesi ingilizce yapılacaktır,ileri derece yazılı sözlü ingilizce bil iş görüşme ingilizce yap,1,0
sorumluluk almayı seven çalışkan,sorumluluk al sev çalışkan,1,1
yoğun çalışma temposuna uygun,yoğun çalış tempo uygun,2,0
iş takibi yeteneği gelişmiş sorumluluk sahibi,iş takip yetenek geliş sorumluluk sahip,5,0
enerji piyasaları mevzuatına hakim,enerji piyasa mevzuat hakim,1,1
iletişim becerisi motivasyonu yüksek,iletişim beceri motivasyon yüksek,1,1
ikna kabiliyeti güçlü,ikna kabiliyet güçlü,1,1
iletişim becerisi yüksek kapsamlı yer-yön-yol bilgisi,iletişim beceri yüksek kapsam yer-yön yol bilgi,1,1
muğla fethiye caddede bulunan KOTON mağazalarımız,muğla fethiye cadde bulun koton mağaza,1,1
724 vardiyalı çalışabilecek,7/24 vardiya çalış,2,0
dinamik yoğun tempoya ayak uydurabilecek,dinamik yoğun tempo ay uydur,1,1
JSON XML veri paylaşım standartları konusunda bilgi sahibi olunması,JSON XML veri paylaşım standart konu bilgi sahip ol,5,0
servis tabanlı uygulama geliştirme tecrübesi,servis taban uygula geliştir tecrübe,1,0
B sınıfı ehliyeti SRC belgesi olan,b sınıf ehliyet SRC belge olan,4,0
el terminalini kusursuz kullanabilecek,el terminal kusur kullan,3,0
güler yüzlü enerjisi yüksek güvenen,gül yüz enerji yüksek güven,1,1
the position is located in beylikduzu campus,the position is located in beylikduzu campus,1,1
nakit nakit akışı yönetimi mali raporlama konularında bilgi deneyim sahibi,nakit nakit ak yönet mali raporla konu bilgi dene sahip,5,0
birden fazla şirket işlemlerine vakıf,birden fazla şirket işlem vakıf,1,1
